"","Nt","min.N","g","g.1","max.g","evolve","survive","sigma"
"219",200,19,0,0.0420107428916973,0.13462151304935,0.926107701576527,1,0.1
"220",199,14,0,0.0364575092080385,0.125283188707179,0.888256794991401,1,0.1
"221",199,15,0,0.0384460025766865,0.18230703392232,1.3701050604346,1,0.105
"222",199,12,0,0.044331518365629,0.155106348424043,1.05499838150871,1,0.105
"223",199,12,0,0.0427435514790097,0.164448762654155,1.1590972492871,1,0.105
"224",199,25,0,0.0487196448662877,0.173863773062838,1.19184883996714,1,0.105
"225",199,17,0,0.0400669714317189,0.153589473739477,1.08116668864531,1,0.105
"226",199,20,0,0.0417203025578725,0.177811575185075,1.29610735835431,1,0.105
"227",200,11,0,0.0369909706625389,0.160173519899837,1.17316713559331,1,0.105
"228",199,6,0,0.0354068586873222,0.191013113911306,1.48196433546651,1,0.105
"229",199,11,0,0.0344450537691639,0.126920838608128,0.880721760371088,1,0.105
"230",199,14,0,0.0446680089237542,0.138669990153058,0.895256964088604,1,0.105
"231",200,22,0,0.0428303466731983,0.128809310047087,0.781626939762622,1,0.11
"232",200,21,0,0.0476800004784408,0.184569515424419,1.24445013587253,1,0.11
"233",199,13,0,0.0419038125885342,0.176157437971644,1.22048750348282,1,0.11
"234",199,21,0,0.0459137526101462,0.196502552087877,1.36898908616119,1,0.11
"235",200,20,0,0.0404500885593124,0.173716725954288,1.21151488540887,1,0.11
"236",199,10,0,0.0491066495511301,0.143436702456405,0.857545935502497,1,0.11
"237",198,10,0,0.0507918736965178,0.149307295056744,0.895594739638421,1,0.11
"238",199,18,0,0.0516835760913138,0.137252027024664,0.777895008484998,1,0.11
"239",199,14,0,0.0432828671885775,0.174144617920689,1.18965227938283,1,0.11
"240",199,15,0,0.0462144680067656,0.191170437668612,1.31778154238042,1,0.11
"241",199,13,0,0.0496020015070884,0.185258279317461,1.17961980704672,1,0.115
"242",199,10,0,0.0405917345417428,0.175055757189643,1.16925237085131,1,0.115
"243",199,20,0,0.0462592163136573,0.167250786876447,1.05210061358948,1,0.115
"244",199,20,0,0.0516919265823248,0.152870244957263,0.879811464129893,1,0.115
"245",200,21,0,0.0506204020025782,0.138770144896698,0.766519503427125,1,0.115
"246",199,20,0,0.0429448158169485,0.198874209411919,1.35590777039105,1,0.115
"247",197,25,0,0.0526382336202486,0.182666882751961,1.13068390549315,1,0.115
"248",200,17,0,0.0479230544492326,0.193985509963876,1.27010830882299,1,0.115
"249",199,18,0,0.0528908186278262,0.189673533275889,1.18941490998316,1,0.115
"250",200,13,0,0.0452975432093742,0.116652927946088,0.620481606406206,1,0.115
"251",199,15,0,0.0484978095703292,0.151494299255832,0.858304080712527,1,0.12
"252",199,19,0,0.053321066317387,0.227057792420516,1.44780605085941,1,0.12
"253",200,21,0,0.0543387497864958,0.191045042792301,1.13921910838171,1,0.12
"254",200,24,0,0.0458139091144182,0.15338406930986,0.896418001628683,1,0.12
"255",199,12,0,0.0498703421541277,0.214952913638573,1.37568809570371,1,0.12
"256",199,13,0,0.0405219840111358,0.20390378759533,1.36151502986828,1,0.12
"257",199,18,0,0.0493332627026863,0.186755020006362,1.14518131086397,1,0.12
"258",199,20,0,0.0554518803042755,0.402513247494629,2.89217805991961,1,0.12
"259",199,12,0,0.0457582501792936,0.196666272432487,1.25756685210995,1,0.12
"260",199,15,0,0.0503906283775244,0.176277201361757,1.04905477486861,1,0.12
"261",199,22,0,0.057110056310339,0.150159611751886,0.744396443532373,1,0.125
"262",198,20,0,0.0544124111883075,0.14706766866924,0.741242059847457,1,0.125
"263",199,14,0,0.0497934115872477,0.186968646948105,1.09740188288686,1,0.125
"264",199,21,0,0.0471999331674835,0.169871994498781,0.981376490650378,1,0.125
"265",199,13,0,0.0485156599950348,0.179524219130277,1.04806847308194,1,0.125
"266",199,14,0,0.0503554570351908,0.17721545213508,1.01487996079912,1,0.125
"267",198,20,0,0.0396250854045812,0.177621687250072,1.10397281476392,1,0.125
