"","WT","S","E","I","R","M","N","g.avg"
"259",985.223083271064,10,0,1,9,9,20,0.219180593202931
"260",985.891538899436,10,0,0,9,10,19,0.215226178993091
"261",986.111744610292,10,0,0,9,9,19,0.215226178993091
"262",987.692957919498,9,1,0,9,9,19,0.215226178993091
"263",987.871924119307,9,0,1,9,9,19,0.215226178993091
"264",990.619211569857,8,1,1,9,9,19,0.215226178993091
"265",991.353045283443,7,2,1,9,9,19,0.215226178993091
"266",991.913878601994,7,2,0,9,10,18,0.21802562904866
"267",991.940526196367,8,2,0,9,10,19,0.219003817022713
"268",994.140819480744,8,1,1,9,10,19,0.219003817022713
"269",994.963087120827,8,1,0,9,11,18,0.219147959084239
"270",995.738390687871,8,1,0,9,10,18,0.219147959084239
"271",997.573432624784,7,2,0,9,10,18,0.219147959084239
"272",997.934395666038,7,1,1,9,10,18,0.219147959084239
"273",998.263188775721,7,1,1,9,9,18,0.219147959084239
"274",998.678644421311,7,1,0,9,10,17,0.22500167688017
"275",999.069265149092,7,0,1,9,10,17,0.22500167688017
"276",999.295439911799,7,0,0,9,11,16,0.228762026810628
"277",1000.24433717074,8,0,0,9,11,17,0.229223742913277
"278",1009.90249192013,7,1,0,9,11,17,0.229223742913277
"279",1011.06157507605,6,2,0,9,11,17,0.229223742913277
"280",1012.20305811049,6,1,1,9,11,17,0.229223742913277
"281",1012.72402031316,6,0,2,9,11,17,0.229223742913277
"282",1012.84380559832,6,0,1,9,12,16,0.229707360871804
"283",1012.8778920928,6,0,0,9,13,15,0.230255461224801
"284",1013.60924817995,6,0,0,9,12,15,0.230255461224801
"285",1015.7661200778,5,1,0,9,12,15,0.230255461224801
"286",1025.37631947487,5,0,0,10,12,15,0.230255461224801
"287",1028.7777340257,6,0,0,10,12,16,0.229707360871804
"288",1036.06819061464,7,0,0,10,12,17,0.226479771993814
"289",1037.78393908194,6,0,0,10,12,16,0.225846557708698
"290",1038.38890087197,5,1,0,10,12,16,0.225846557708698
"291",1040.26696691184,5,1,0,10,11,16,0.225846557708698
"292",1041.34419572776,6,1,0,10,11,17,0.230557955275459
"293",1041.40873425536,7,1,0,10,11,18,0.234745864223691
"294",1041.55346868201,7,0,0,11,11,18,0.234745864223691
"295",1044.0775805025,8,0,0,11,11,19,0.234047969031752
"296",1045.54210731968,7,1,0,11,11,19,0.234047969031752
"297",1045.86651289807,7,0,1,11,11,19,0.234047969031752
"298",1048.14918347163,7,0,0,11,12,18,0.234745864223691
"299",1049.46778311152,8,0,0,11,12,19,0.234047969031752
"300",1049.66721962849,8,0,0,11,11,19,0.234047969031752
"301",1051.38106098727,9,0,0,11,11,20,0.231867677986557
"302",1053.37745229367,10,0,0,11,11,21,0.239491620623893
"303",1054.07362495953,11,0,0,11,11,22,0.237356433435595
"304",1055.74008043737,11,0,0,11,10,22,0.237356433435595
"305",1057.06874684853,11,0,0,10,10,21,0.237391920715591
"306",1057.91820246488,10,1,0,10,10,21,0.237391920715591
"307",1059.23811420845,10,0,1,10,10,21,0.237391920715591
"308",1062.65855194689,9,1,1,10,10,21,0.237391920715591
"309",1062.697305246,9,0,1,11,10,21,0.237391920715591
"310",1062.77433331446,10,0,1,11,10,22,0.237936843927291
"311",1063.43435164465,10,0,0,11,11,21,0.23799996980213
"312",1063.72638916703,10,0,0,11,10,21,0.23799996980213
"313",1069.81035004615,11,0,0,11,10,22,0.237936843927291
"314",1070.75687910317,12,0,0,11,10,23,0.237221583564228
"315",1074.00732262907,13,0,0,11,10,24,0.237196150938871
"316",1075.15336409685,12,1,0,11,10,24,0.237196150938871
"317",1075.32639886586,12,1,0,11,9,24,0.237196150938871
"318",1076.29215969661,11,2,0,11,9,24,0.237196150938871
"319",1077.90012894247,11,1,0,12,9,24,0.237196150938871
"320",1078.98292126105,11,0,0,13,9,24,0.237196150938871
"321",1079.40796418147,10,1,0,13,9,24,0.237196150938871
"322",1080.57746420557,10,0,0,14,9,24,0.237196150938871
"323",1081.74855243962,11,0,0,14,9,25,0.234701838899155
"324",1092.85905556849,10,0,0,14,9,24,0.236545992681293
"325",1098.76788112887,11,0,0,14,9,25,0.234701838899155
"326",1104.54304581099,10,1,0,14,9,25,0.234701838899155
"327",1106.36818939358,10,0,1,14,9,25,0.234701838899155
"328",1107.67261539703,10,0,0,14,10,24,0.231733569005635
"329",1110.0623810661,9,1,0,14,10,24,0.231733569005635
"330",1111.81914342468,9,0,0,15,10,24,0.231733569005635
"331",1114.82279192663,9,0,0,15,9,24,0.231733569005635
"332",1124.02454105611,10,0,0,15,9,25,0.231323660468483
